PortfolioId,PortfolioName,PortfolioType,PortfolioCurrency,PortfolioCompany,LegalParentId,VotingParentId,ManagementParentId,RuleFolders,InceptionDate,LiquidationDate,Address,AUSellerId,IsAIF,BafinID,BicCode,City,CompanyName,CompanyNumber,CompanyType,ContactPersonFirst,ContactPersonLast,Country,Custodian,Email,EntityCountryOfIncorporation,Fax,FundDomicile,HongKongSPRID,IEIdentifierCode,IndianPAN,PostCode,Province,ReportingPersonAddress,ReportingPersonCity,ReportingPersonCompany,ReportingPersonCountry,ReportingPersonEmail,ReportingPersonFax,ReportingPersonFirst,ReportingPersonLast,ReportingPersonPhone,ReportingPersonPosition,ReportingPersonPostCode,ReportingPersonProvince,SSRUKHolderID,Telephone,USReportingPersonType,ZARegistrationNo,LegalDelegatorParentId,ManagementDelegatorParentId
100,FundApps Alternatives Ltd,Entity,GBP,FundApps Alternatives,100,100,100,,,2015-08-15,10 High Street,124348,,FUN01234,BI298741999,London,FundApps Alternatives Ltd,,"CA-AMRS,UKIM,US-QII",John,Smith,GB,,john.smith@fundappsai.com,GB,+44 20 9766 7777,,948958,3987487,65401681,EC1Y 2BJ,London,10 High Street,London,FundApps,GB,John@fundapps.co,0207 154 1544,John,Smith,0207 154 1544,Compliance Manager,EC1Y 2BJ,,FUN01234,+44 20 9766 7766,CO,,,
103,Management Entity,Entity,EUR,FundApps Alternatives,103,103,103,,,2015-08-15,10 High Street,124348,,FUN01234,BI298741999,London,FundApps Alternatives Ltd,,"CA-AMRS,UKIM,US-QII",John,Smith,GB,,john.smith@fundappsai.com,GB,+44 20 9766 7777,GB,948958,3987487,65401681,EC1Y 2BJ,London,10 High Street,London,FundApps,GB,John@fundapps.co,0207 154 1544,John,Smith,0207 154 1544,Compliance Manager,EC1Y 2BJ,,FUN01234,+44 20 9766 7766,,,,
105,FundApps AM USA Ltd,Entity,USD,FundApps AM USA,105,105,105,,,2015-08-15,20 Main Street,124348,,,BI598741123,New York,FundApps AM USA Ltd,,"CA-AMRS,UKIM,US-QII",Adam,Smith,US,,adam.smith@fundappsus.com,US,+1 20 9766 7777,,248958,23957487,65401681,10007,New York,78 Madison Avenue,New York,FundApps Inc,US,adam.smith@fundappsus.com,0207 154 1544,Adam,Smith,0207 154 1544,Compliance Manager,EC1Y 2BJ,NY,FUN04321,+1 20 9766 7766,IV,,,
12,Tax Haven Fund,Portfolio,EUR,FundApps Alternatives,105,105,,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-09-12,2015-08-15,10 High Street,124348,FALSE,FUN01234,BI598741123,London,FundApps Ltd,15643045,,John,Smith,GB,HSBC,john.smith@fundappsai.com,GB,+44 20 9766 7777,,948958,3987487,65401681,EC1Y 2BJ,,10 High Street,London,FundApps,GB,John@fundapps.co,0207 154 1544,John,Smith,0207 154 1544,Compliance Manager,EC1Y 2BJ,,FUN01234,+44 20 9766 7766,IV,564887842,,
11,Global Macro Fund,Portfolio,EUR,FundApps Alternatives,103,,103,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-08-12,,10 High Street,,FALSE,,,London,FundApps Alternatives Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Managed (Voting) Fund,Portfolio,EUR,FundApps Alternatives,103,,103,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-01-12,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Managed Fund,Portfolio,GBP,FundApps Alternatives,103,,103,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-03-12,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Special Interest Fund,Portfolio,EUR,FundApps Alternatives,13,13,,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-06-12,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,US Fund I,Portfolio,USD,FundApps AM USA,100,,100,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-11-12,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,US Fund II,Portfolio,EUR,FundApps AM USA,105,,105,"Disclosure, Validation, Validation Disclosure, Short Selling",2013-01-12,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
